Stations_ID;Stations_Name;Parameter;Von_Datum;Bis_Datum;Anzahl_Fehlwerte;Beschreibung;eor;                                                                                                              
2932;Leipzig/Halle;PM;14.08.1948;15.08.1948;2;;eor;                                                                                                                                                     
2932;Leipzig/Halle;PM;17.08.1948;20.08.1948;4;;eor;                                                                                                                                                     
2932;Leipzig/Halle;PM;22.08.1948;27.08.1948;6;;eor;                                                                                                                                                     
2932;Leipzig/Halle;PM;29.08.1948;29.08.1948;1;;eor;                                                                                                                                                     
2932;Leipzig/Halle;PM;31.08.1948;01.09.1948;2;;eor;                                                                                                                                                     
2932;Leipzig/Halle;PM;03.09.1948;03.09.1948;1;;eor;                                                                                                                                                     
2932;Leipzig/Halle;PM;06.09.1948;07.09.1948;2;;eor;                                                                                                                                                     
2932;Leipzig/Halle;PM;10.09.1948;12.09.1948;3;;eor;                                                                                                                                                     
2932;Leipzig/Halle;PM;14.09.1948;16.09.1948;3;;eor;                                                                                                                                                     
2932;Leipzig/Halle;PM;20.09.1948;20.09.1948;1;;eor;                                                                                                                                                     
2932;Leipzig/Halle;PM;23.09.1948;23.09.1948;1;;eor;                                                                                                                                                     
2932;Leipzig/Halle;PM;29.09.1948;03.10.1948;5;;eor;                                                                                                                                                     
2932;Leipzig/Halle;PM;05.10.1948;05.10.1948;1;;eor;                                                                                                                                                     
2932;Leipzig/Halle;PM;08.10.1948;08.10.1948;1;;eor;                                                                                                                                                     
2932;Leipzig/Halle;PM;11.10.1948;12.10.1948;2;;eor;                                                                                                                                                     
2932;Leipzig/Halle;PM;14.10.1948;15.10.1948;2;;eor;                                                                                                                                                     
2932;Leipzig/Halle;PM;17.10.1948;20.10.1948;4;;eor;                                                                                                                                                     
2932;Leipzig/Halle;PM;22.10.1948;29.10.1948;8;;eor;                                                                                                                                                     
2932;Leipzig/Halle;PM;02.11.1948;10.11.1948;9;;eor;                                                                                                                                                     
2932;Leipzig/Halle;PM;12.11.1948;13.11.1948;2;;eor;                                                                                                                                                     
2932;Leipzig/Halle;PM;15.11.1948;19.11.1948;5;;eor;                                                                                                                                                     
2932;Leipzig/Halle;PM;21.11.1948;22.11.1948;2;;eor;                                                                                                                                                     
2932;Leipzig/Halle;PM;24.11.1948;25.11.1948;2;;eor;                                                                                                                                                     
2932;Leipzig/Halle;PM;27.11.1948;28.11.1948;2;;eor;                                                                                                                                                     
2932;Leipzig/Halle;PM;02.12.1948;03.12.1948;2;;eor;                                                                                                                                                     
2932;Leipzig/Halle;PM;05.12.1948;06.12.1948;2;;eor;                                                                                                                                                     
2932;Leipzig/Halle;PM;09.12.1948;09.12.1948;1;;eor;                                                                                                                                                     
2932;Leipzig/Halle;PM;11.12.1948;13.12.1948;3;;eor;                                                                                                                                                     
2932;Leipzig/Halle;PM;16.12.1948;16.12.1948;1;;eor;                                                                                                                                                     
2932;Leipzig/Halle;PM;18.12.1948;18.12.1948;1;;eor;                                                                                                                                                     
2932;Leipzig/Halle;PM;20.12.1948;21.12.1948;2;;eor;                                                                                                                                                     
2932;Leipzig/Halle;PM;23.12.1948;25.12.1948;3;;eor;                                                                                                                                                     
2932;Leipzig/Halle;PM;27.12.1948;14.01.1949;19;;eor;                                                                                                                                                    
2932;Leipzig/Halle;PM;16.01.1949;18.01.1949;3;;eor;                                                                                                                                                     
2932;Leipzig/Halle;PM;21.01.1949;22.01.1949;2;;eor;                                                                                                                                                     
2932;Leipzig/Halle;PM;24.01.1949;26.01.1949;3;;eor;                                                                                                                                                     
2932;Leipzig/Halle;PM;30.01.1949;02.02.1949;4;;eor;                                                                                                                                                     
2932;Leipzig/Halle;PM;04.02.1949;13.02.1949;10;;eor;                                                                                                                                                    
2932;Leipzig/Halle;PM;15.02.1949;15.02.1949;1;;eor;                                                                                                                                                     
2932;Leipzig/Halle;PM;17.02.1949;18.02.1949;2;;eor;                                                                                                                                                     
2932;Leipzig/Halle;PM;22.02.1949;23.02.1949;2;;eor;                                                                                                                                                     
2932;Leipzig/Halle;PM;26.02.1949;02.03.1949;5;;eor;                                                                                                                                                     
2932;Leipzig/Halle;PM;04.03.1949;06.03.1949;3;;eor;                                                                                                                                                     
2932;Leipzig/Halle;PM;09.03.1949;09.03.1949;1;;eor;                                                                                                                                                     
2932;Leipzig/Halle;PM;11.03.1949;12.03.1949;2;;eor;                                                                                                                                                     
2932;Leipzig/Halle;PM;14.03.1949;19.03.1949;6;;eor;                                                                                                                                                     
2932;Leipzig/Halle;PM;22.03.1949;25.03.1949;4;;eor;                                                                                                                                                     
2932;Leipzig/Halle;PM;28.03.1949;28.03.1949;1;;eor;                                                                                                                                                     
2932;Leipzig/Halle;PM;30.03.1949;02.04.1949;4;;eor;                                                                                                                                                     
2932;Leipzig/Halle;PM;04.04.1949;15.04.1949;12;;eor;                                                                                                                                                    
2932;Leipzig/Halle;PM;17.04.1949;17.04.1949;1;;eor;                                                                                                                                                     
2932;Leipzig/Halle;PM;21.04.1949;22.04.1949;2;;eor;                                                                                                                                                     
2932;Leipzig/Halle;PM;24.04.1949;01.05.1949;8;;eor;                                                                                                                                                     
2932;Leipzig/Halle;PM;03.05.1949;08.05.1949;6;;eor;                                                                                                                                                     
2932;Leipzig/Halle;PM;10.05.1949;10.05.1949;1;;eor;                                                                                                                                                     
2932;Leipzig/Halle;PM;12.05.1949;18.05.1949;7;;eor;                                                                                                                                                     
2932;Leipzig/Halle;PM;20.05.1949;20.05.1949;1;;eor;                                                                                                                                                     
2932;Leipzig/Halle;PM;22.05.1949;01.06.1949;11;;eor;                                                                                                                                                    
2932;Leipzig/Halle;PM;04.06.1949;09.06.1949;6;;eor;                                                                                                                                                     
2932;Leipzig/Halle;PM;11.06.1949;12.06.1949;2;;eor;                                                                                                                                                     
2932;Leipzig/Halle;PM;14.06.1949;14.06.1949;1;;eor;                                                                                                                                                     
2932;Leipzig/Halle;PM;20.06.1949;24.06.1949;5;;eor;                                                                                                                                                     
2932;Leipzig/Halle;PM;27.06.1949;28.06.1949;2;;eor;                                                                                                                                                     
2932;Leipzig/Halle;PM;04.07.1949;06.07.1949;3;;eor;                                                                                                                                                     
2932;Leipzig/Halle;PM;12.07.1949;13.07.1949;2;;eor;                                                                                                                                                     
2932;Leipzig/Halle;PM;15.07.1949;17.07.1949;3;;eor;                                                                                                                                                     
2932;Leipzig/Halle;PM;19.07.1949;19.07.1949;1;;eor;                                                                                                                                                     
2932;Leipzig/Halle;PM;26.07.1949;04.08.1949;10;;eor;                                                                                                                                                    
2932;Leipzig/Halle;PM;06.08.1949;06.08.1949;1;;eor;                                                                                                                                                     
2932;Leipzig/Halle;PM;10.08.1949;12.08.1949;3;;eor;                                                                                                                                                     
2932;Leipzig/Halle;PM;15.08.1949;17.08.1949;3;;eor;                                                                                                                                                     
2932;Leipzig/Halle;PM;28.08.1949;28.08.1949;1;;eor;                                                                                                                                                     
2932;Leipzig/Halle;PM;31.08.1949;01.09.1949;2;;eor;                                                                                                                                                     
